dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-02-10 12:45:00,289.78,52.889,0.2186879765384496,0.15384342292052494,1.0,0.0007473381948245872,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:46:00,289.75,52.869,0.22820766101855683,-0.10003903393643443,1.0,0.0007473442412147845,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:47:00,289.77,52.841,0.21835319049685584,0.1736685052542158,1.0,0.000745986393734894,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:48:00,289.76,52.866,0.2101850933057883,-0.25514045310387967,1.0,0.000745488070980366,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:49:00,289.69,52.856,0.2148839886488979,-0.3459972341130473,1.0,0.000745194800541402,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:50:00,289.64,52.863,0.21338441387468937,-0.3454688841066641,1.0,0.0007452813605605959,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:51:00,289.67,52.864,0.21262177618224648,0.05863383306565022,1.0,0.0007451472745508578,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:52:00,289.72,52.868,0.2142052002141393,0.13674739419100765,1.0,0.0007446998545673569,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:53:00,289.69,52.868,0.21355266415255475,-0.21284302190402138,1.0,0.0007445997417048415,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:54:00,289.7,52.868,0.21263830120832078,-0.02819933365246692,1.0,0.0007445293348565614,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:55:00,289.72,52.8,0.1733011435326228,0.3140920943209827,1.0,0.0007442225662257344,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:56:00,289.75,52.861,0.16056666055249744,-0.1884476706008342,1.0,0.0007442017014034267,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:57:00,289.89,52.858,0.15909820327465315,0.5811248128555148,1.0,0.0007446629269749668,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:58:00,289.85,52.8,0.15591249703639318,-0.03620880588219822,1.0,0.0007445846933103183,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 12:59:00,289.85,52.8,0.1546350238146687,-0.0806348706681046,1.0,0.0007445860281603283,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:00:00,289.9,52.8,0.1761589909291427,0.14969115371068592,1.0,0.0007445739686418167,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
2025-02-10 13:01:00,289.85,52.847,0.15751936269751307,-0.5001475593714471,1.0,0.0007449380277803199,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,433643.96242322674,493725.7250674086,-60081.76264418184,0.0
