dt,z,beta,pos_dir,pos_coef,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-02-20 11:20:00,-0.6788014604915121,0.2926690795234662,0,0.0,0.0,56.249,314.4,0.0,-0.0,-0.0,0.0,-0.0,0.0,1501669.2768668353
2025-02-20 11:21:00,1.4630797308057761,0.2983862417731906,0,0.0,0.0,56.249,314.65,0.0,-0.0,0.0,0.0,-0.0,0.0,1501669.2768668353
2025-02-20 11:22:00,-0.4951056567004028,0.29872063939681276,0,0.0,0.0,56.249,314.57,0.0,-0.0,-0.0,0.0,-0.0,0.0,1501669.2768668353
2025-02-20 11:23:00,-0.06513686557321774,0.3072231868836414,0,0.0,0.0,56.249,314.56,0.0,-0.0,-0.0,0.0,-0.0,0.0,1501669.2768668353
2025-02-20 11:24:00,-2.2944077787054358,0.31418707970879434,1,0.5736019446763589,1.0,56.249,314.18,91285.5599777769,-509877.45975604805,-0.0,-0.9512937595129394,-57.36019446763589,-58.31148822714883,1501610.965378608
2025-02-20 11:25:00,1.8622452813514874,0.31265205719464684,0,0.0,-1.0,56.249,314.49,0.0,-0.0,28298.523593111044,6.5544282551166795,-57.38849299122899,28247.689528374933,1529858.654906983
2025-02-20 11:26:00,-0.9706768885447579,0.3131076884036075,0,0.0,0.0,56.249,314.33,0.0,-0.0,-0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:27:00,0.358100036469665,0.3122848996265351,0,0.0,0.0,56.249,314.39,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:28:00,0.9832923474847134,0.30694201656697245,0,0.0,0.0,56.217,314.5,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:29:00,-0.09495847776393807,0.30729891457504493,0,0.0,0.0,56.22,314.49,0.0,-0.0,-0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:30:00,-0.6418908245289242,0.30518666776780007,0,0.0,0.0,56.247,314.43,0.0,-0.0,-0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:31:00,0.3360644048394599,0.30504211693400607,0,0.0,0.0,56.244,314.48,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:32:00,-0.048186578347671184,0.3110663937210513,0,0.0,0.0,56.22,314.43,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:33:00,0.1835364077973282,0.3155367126788392,0,0.0,0.0,56.22,314.46,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:34:00,1.4457275806630345,0.32347865205174237,0,0.0,0.0,56.22,314.7,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:35:00,1.2533407698572692,0.32612364188830145,0,0.0,0.0,56.22,314.91,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:36:00,0.34821917434177035,0.32617759720372835,0,0.0,0.0,56.22,314.97,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:37:00,-0.6860450675057016,0.3263684264998985,0,0.0,0.0,56.22,314.86,0.0,-0.0,-0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:38:00,0.29364671086573824,0.32647495716346997,0,0.0,0.0,56.225,314.92,0.0,-0.0,0.0,0.0,-0.0,0.0,1529858.654906983
2025-02-20 11:40:00,-2.148935580035333,0.31182008099477615,1,0.5372338950088332,1.0,56.285,314.67,85364.65106442197,-477244.28800642554,-0.0,-0.9512937595129394,-53.72338950088332,-54.674683260396264,1529803.9802237225
2025-02-20 11:41:00,-1.1744630024878853,0.3097458419346045,1,0.5372338950088332,0.0,56.299,314.5,85410.7941190514,-477125.61058707366,-21193.410713044435,5.178200021254345,-0.021193410713046777,-21188.253706433894,1508615.7265172887
2025-02-20 11:42:00,0.35578856391384006,0.30942727447412793,0,0.0,-1.0,56.299,314.56,0.0,-0.0,5124.647647143278,6.133977031527125,-53.728514148530465,5077.053110026274,1513692.779627315
2025-02-20 11:43:00,0.3451029007139927,0.3089136620017448,0,0.0,0.0,56.3,314.62,0.0,-0.0,0.0,0.0,-0.0,0.0,1513692.779627315
2025-02-20 11:45:00,0.9616895187637994,0.3086163254034182,0,0.0,0.0,56.299,314.78,0.0,-0.0,0.0,0.0,-0.0,0.0,1513692.779627315
2025-02-20 11:46:00,0.644438719189382,0.3087469195417851,0,0.0,0.0,56.3,314.89,0.0,-0.0,0.0,0.0,-0.0,0.0,1513692.779627315
2025-02-20 11:47:00,2.1437255621913742,0.2951436849147292,-1,-0.5359313905478436,-1.0,56.256,315.18,-85019.89189476546,476332.6494488086,0.0,-0.9512937595129394,-53.59313905478435,-54.544432814297295,1513638.2351945008
2025-02-20 11:48:00,-1.1485163129173879,0.2899391819768777,0,0.0,1.0,56.3,315.06,0.0,-0.0,31161.023603118356,-6.115608936156349,-53.60389530433273,31101.304098877867,1544739.5392933786
2025-02-20 11:49:00,0.5202242582687081,0.28978170828255023,0,0.0,0.0,56.3,315.15,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:50:00,-0.4848709314224058,0.2931194173305375,0,0.0,0.0,56.3,315.07,0.0,-0.0,-0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:51:00,0.1678042666494763,0.29210824968780513,0,0.0,0.0,56.3,315.1,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:52:00,-0.7843380549268962,0.29822058306804844,0,0.0,0.0,56.265,314.91,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:53:00,-0.3482791391219629,0.2972039944644383,0,0.0,0.0,56.3,314.91,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:54:00,0.058794228904455834,0.29715703736636523,0,0.0,0.0,56.3,314.92,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:55:00,0.18327582202767828,0.29692091242658136,0,0.0,0.0,56.299,314.95,0.0,-0.0,0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:57:00,-0.6554291455751273,0.29606376790494143,0,0.0,0.0,56.299,314.84,0.0,-0.0,-0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:58:00,-1.3068072070520769,0.2967230284038088,0,0.0,0.0,56.299,314.62,0.0,-0.0,-0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 11:59:00,-0.4694934507309684,0.29715165687014244,0,0.0,0.0,56.299,314.54,0.0,-0.0,-0.0,0.0,-0.0,0.0,1544739.5392933786
2025-02-20 12:01:00,2.672706030508062,0.29485649958551013,-1,-0.6681765076270155,-1.0,56.296,314.99,-106063.13019889766,593449.3637443295,0.0,-0.9512937595129394,-66.81765076270155,-67.76894452221448,1544671.7703488565
2025-02-20 12:02:00,-0.006208724522105832,0.29485649958551013,0,0.0,1.0,56.296,314.99,0.0,-0.0,0.0,-7.627585703504743,-66.81765076270155,-74.4452364662063,1544597.3251123903
2025-02-20 12:03:00,0.003245278469242004,0.2946990133350219,0,0.0,0.0,56.271,314.95,0.0,-0.0,0.0,0.0,-0.0,0.0,1544597.3251123903
2025-02-20 12:04:00,-0.014942448217729014,0.07064292729605806,0,0.0,0.0,56.299,314.96,0.0,-0.0,0.0,0.0,-0.0,0.0,1544597.3251123903
2025-02-20 12:05:00,-0.019570690176405194,0.07284105558609397,0,0.0,0.0,56.3,314.96,0.0,-0.0,0.0,0.0,-0.0,0.0,1544597.3251123903
2025-02-20 12:06:00,-1.725609382367744,0.05451640265515407,0,0.0,0.0,56.299,314.67,0.0,-0.0,0.0,0.0,-0.0,0.0,1544597.3251123903
2025-02-20 12:07:00,1.588342545472091,0.053982340718214436,0,0.0,0.0,56.299,314.94,0.0,-0.0,0.0,0.0,-0.0,0.0,1544597.3251123903
2025-02-20 12:08:00,-2.0569359778428398,0.051655627638804116,1,0.5142339944607099,1.0,56.299,314.59,81730.82336703486,-456699.04834962427,-0.0,-0.9512937595129394,-51.42339944607098,-52.374693205583924,1544544.9504191848
2025-02-20 12:09:00,-2.2035168698186647,0.04653173723365811,1,0.5142339944607099,0.0,56.298,314.21,81829.66717493237,-456707.16052143055,-30601.013831124314,4.91186651677839,-0.031514411927828355,-30596.133479019463,1513948.8169401654
2025-02-20 12:10:00,-0.1777776054797283,0.04675019954747178,0,0.0,-1.0,56.298,314.18,0.0,-0.0,-2454.8900152457386,5.869690601146177,-51.42094455605575,-2500.4412692006485,1511448.3756709646
2025-02-20 12:11:00,0.3546029450741945,0.01091716181284728,0,0.0,0.0,56.298,314.24,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:12:00,0.36142073999014984,0.005617852423867568,0,0.0,0.0,56.262,314.3,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:13:00,1.0905516616045239,0.01993709901785292,0,0.0,0.0,56.296,314.49,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:14:00,-0.4089494605466705,0.019845143970534204,0,0.0,0.0,56.295,314.42,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:15:00,-0.17117367585263113,0.020588161817234496,0,0.0,0.0,56.294,314.39,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:16:00,0.7078889915304044,0.02690279993529414,0,0.0,0.0,56.298,314.51,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:17:00,1.7500607143249678,0.03107799364904572,0,0.0,0.0,56.298,314.81,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:18:00,0.4616670395407949,0.03142696772047808,0,0.0,0.0,56.298,314.89,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:19:00,0.2837625129627878,0.03331338908663138,0,0.0,0.0,56.298,314.94,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:20:00,-0.9951747645429685,0.03423854399268859,0,0.0,0.0,56.298,314.77,0.0,-0.0,-0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:21:00,-0.8717433790914957,0.03560174569851629,0,0.0,0.0,56.298,314.62,0.0,-0.0,-0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:22:00,-0.10700327920989489,0.03539454278840698,0,0.0,0.0,56.296,314.6,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:23:00,-0.11115716792722627,0.03550013037150883,0,0.0,0.0,56.298,314.58,0.0,-0.0,-0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:24:00,0.06729328395983472,0.0345700964336739,0,0.0,0.0,56.294,314.59,0.0,-0.0,0.0,0.0,-0.0,0.0,1511448.3756709646
2025-02-20 12:25:00,2.0963888587433335,0.010874800708526516,-1,-0.5240972146858334,-1.0,56.267,314.95,-83203.24094075781,465723.43885921885,0.0,-0.9512937595129394,-52.40972146858334,-53.36101522809628,1511395.0146557365
2025-02-20 12:26:00,2.5313159981665256,0.03477729588504045,-1,-0.5595184802726013,0.0,56.293,315.4,-88699.82249090067,496969.85439806135,-25332.649013002127,-6.9426869541967315,-3.4925762908431177,-25343.084276247166,1486051.9303794894
2025-02-20 12:27:00,0.7802336183281349,0.03504401355259916,-1,-0.5595184802726013,0.0,56.294,315.54,-88660.46781273393,496961.02628397464,-11921.005294333023,-7.341326177042346,-0.012914945003129789,-11928.359535455069,1474123.5708440344
2025-02-20 12:29:00,-0.8698040766841604,0.04626871372388249,0,0.0,1.0,56.294,315.39,0.0,-0.0,13299.070171913114,-6.384160945995012,-55.938548957088216,13236.747462010031,1487360.3183060444
2025-02-20 12:30:00,-1.1475283316528377,0.04860841509791062,0,0.0,0.0,56.294,315.19,0.0,-0.0,-0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:31:00,0.979510671278015,0.041900414364542865,0,0.0,0.0,56.272,315.36,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:32:00,-0.9183779250898839,0.008839109307809073,0,0.0,0.0,56.272,315.2,0.0,-0.0,-0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:33:00,0.4293079725031859,0.013985968905980806,0,0.0,0.0,56.293,315.28,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:34:00,1.0580103473016118,0.014255676586400359,0,0.0,0.0,56.294,315.47,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:35:00,1.2175581375877562,0.014040062913157883,0,0.0,0.0,56.294,315.69,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:36:00,-0.3614309899793518,0.0339932341005756,0,0.0,0.0,56.294,315.63,0.0,-0.0,-0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:37:00,0.3665625319803559,0.045554094996088,0,0.0,0.0,56.297,315.7,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:38:00,0.3642379648839877,0.04537290400847098,0,0.0,0.0,56.297,315.77,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:39:00,0.31119474478965853,0.044683011191886626,0,0.0,0.0,56.294,315.83,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:40:00,0.9265763787540595,0.0446101872418413,0,0.0,0.0,56.294,316.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:41:00,0.7513393442012578,0.04464646346294429,0,0.0,0.0,56.294,316.14,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:42:00,-1.2712746137698236,0.0449129444996328,0,0.0,0.0,56.294,315.92,0.0,-0.0,-0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:43:00,0.4183291952303773,0.0515531573424201,0,0.0,0.0,56.294,316.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:44:00,0.02878851247648172,0.020501151722051147,0,0.0,0.0,56.28,316.01,0.0,-0.0,0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:45:00,-0.10191147447361164,0.019978528508622525,0,0.0,0.0,56.295,316.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1487360.3183060444
2025-02-20 12:46:00,-3.3277168655620937,0.020981245237103506,1,0.8319292163905234,1.0,56.295,315.4,131884.7838285548,-738901.515579113,-0.0,-0.9512937595129394,-83.19292163905236,-84.1442153985653,1487276.174090646
2025-02-20 12:47:00,1.0212049857568402,0.020652448863009463,0,0.0,-1.0,56.295,315.59,0.0,-0.0,25058.10892742511,9.502629892341005,-83.21797974797977,24984.39357756947,1512260.5676682154
2025-02-20 12:48:00,0.40797665428956353,0.02056583459134468,0,0.0,0.0,56.295,315.67,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
2025-02-20 12:49:00,0.24031442853151608,0.020048232784292307,0,0.0,0.0,56.295,315.72,0.0,-0.0,0.0,0.0,-0.0,0.0,1512260.5676682154
