dt,z,beta,pos_dir,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-10-08 12:30:00,-1.1694164054834921,0.16668880588862403,-1.0,0.0,114.41,289.67,-43152.55290502986,109256.18390000875,7532.089483337071,-3.0897356417423048,-0.009717022187410716,7528.9900306731415,7114466.70053764
2025-10-08 12:31:00,-0.709602050578629,0.2566595765855337,0.0,1.0,114.4,289.54,0.0,-0.0,4517.270038654591,-2.8526004950051016,-24.993297606283345,4489.424140553302,7118956.124678193
2025-10-08 12:32:00,-0.182928351762174,0.22391639737697427,0.0,0.0,114.4,289.5,0.0,-0.0,-0.0,0.0,-0.0,0.0,7118956.124678193
2025-10-08 12:33:00,-1.0515110000996748,0.09293413197979694,-1.0,-1.0,114.4,289.32,-43204.755979538226,109265.73426573427,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,7118930.886854753
2025-10-08 12:34:00,0.8916520463297729,0.07286972140952067,-1.0,0.0,114.4,289.45,-43185.35152876144,109265.73426573427,-5616.618277339773,-3.0929870513570794,-0.005616618277339854,-5619.716881009408,7113311.169973743
2025-10-08 12:35:00,-0.2380072020783636,-0.05692846940850861,0.0,1.0,114.4,289.4,0.0,-0.0,2159.267576438563,-2.8533882950738723,-24.99784073242356,2131.416347411066,7115442.586321155
2025-10-08 12:36:00,0.364534494711565,-0.13908810276889005,0.0,0.0,114.39,289.45,0.0,-0.0,0.0,0.0,-0.0,0.0,7115442.586321155
2025-10-08 12:37:00,1.1355721185948697,-0.38646860127964094,-1.0,-1.0,114.38,289.63,-43158.51258502227,109284.84000699423,0.0,-0.23782343987823484,-25.0,-25.237823439878234,7115417.348497715
2025-10-08 12:38:00,-0.414728973870197,-0.3297062105974853,0.0,1.0,114.37,289.56,0.0,-0.0,1928.247480882316,-2.853191530620787,-24.99588605571898,1900.3984032959763,7117317.746901011
2025-10-08 12:39:00,-0.5462751081120042,-0.9735450465531236,0.0,0.0,114.37,289.46,0.0,-0.0,-0.0,0.0,-0.0,0.0,7117317.746901011
2025-10-08 12:40:00,-0.4805814517910915,-1.0052115695288448,0.0,0.0,114.37,289.37,0.0,-0.0,-0.0,0.0,-0.0,0.0,7117317.746901011
2025-10-08 12:41:00,-0.10493376748824179,-0.6853513036795211,0.0,0.0,114.37,289.34,0.0,-0.0,-0.0,0.0,-0.0,0.0,7117317.746901011
2025-10-08 12:42:00,-0.0477197613455292,-0.7076100799493611,0.0,0.0,114.37,289.32,0.0,-0.0,-0.0,0.0,-0.0,0.0,7117317.746901011
2025-10-08 12:43:00,-1.5078646705879284,-0.24514557588919528,1.0,1.0,114.36,289.07,43242.12128550178,-109303.9524309199,0.0,-0.23782343987823484,-25.0,-25.237823439878234,7117292.509077571
2025-10-08 12:44:00,-3.1117302164962957,-0.4505926389059174,1.0,0.0,114.36,288.54,43321.549871768206,-109303.9524309199,-22918.324281314763,2.6108253445324237,-0.02291832428131443,-22915.736374294513,7094376.772703277
2025-10-08 12:45:00,-0.016379859762332392,-0.44276580204972693,0.0,-1.0,114.36,288.52,0.0,-0.0,-866.4309974370386,2.853683463242594,-24.99913356900256,-888.5764475427985,7093488.196255734
2025-10-08 12:46:00,-0.6186503131350035,-0.44333004736332843,0.0,0.0,114.36,288.4,0.0,-0.0,-0.0,0.0,-0.0,0.0,7093488.196255734
2025-10-08 12:47:00,2.5456825894021007,-0.34289480860834903,-1.0,-1.0,114.36,288.81,-43281.04982514456,109303.9524309199,0.0,-0.23782343987823484,-25.0,-25.237823439878234,7093462.958432294
2025-10-08 12:48:00,-0.7302488191819516,-0.40549712526937615,0.0,1.0,114.36,288.67,0.0,-0.0,6059.346975519648,-2.8524978659873246,-24.993940653024477,6031.5005370006365,7099494.458969295
2025-10-08 12:49:00,1.1664972445796333,-0.3463342178779614,-1.0,-1.0,114.36,288.85,-43275.05625757313,109303.9524309199,0.0,-0.23782343987823484,-25.0,-25.237823439878234,7099469.221145855
2025-10-08 12:50:00,-0.024206041662731326,-0.4011114417809322,0.0,1.0,114.36,288.83,0.0,-0.0,865.5011251531354,-2.8536836755422024,-24.999134498874845,837.6483069787183,7100306.869452834
2025-10-08 12:51:00,0.20734067021285493,-0.37915411596124005,0.0,0.0,114.36,288.85,0.0,-0.0,0.0,0.0,-0.0,0.0,7100306.869452834
