dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,regime,pos_dir,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-02-26,312.53,56.847,0.6142554559634573,-1.451345291738573,0.25,,sideways,1.0,1.0,39996.160368604615,-219888.47256671416,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-310251.60228551435,17243.80192356274,-327495.40420907707,-2.5237823439878236e-07
2025-02-27,309.32,56.71,0.6168750903922733,-0.8313461311343873,0.25,,sideways,1.0,0.0,40411.22462175094,-220419.67906894727,-98262.95404158006,2.586745584143861,-0.15851239552486038,-98260.52580839144,-408512.1280939058,17243.80192356274,-425755.9300174685,-0.0009826052580839144
2025-02-28,307.0,56.652,0.6169821234402938,-0.6686485269286827,0.25,,sideways,1.0,0.0,40716.612377850164,-220645.34350067074,-80969.699736463,2.5946528064408376,-0.10653838250846066,-80967.21162203906,-489479.33971594484,17243.80192356274,-506723.14163950755,-0.0008096721162203906
2025-03-03,303.95,56.51,0.61948867995303,-0.7720499571129468,0.25,,sideways,1.0,0.0,41125.185063332785,-221199.78764820387,-92854.02897534755,2.5877049464796547,-0.15551730652953952,-92851.5967877076,-582330.9365036525,17243.80192356274,-599574.7384272153,-0.000928515967877076
2025-03-04,316.2,56.969,0.6578226652410684,2.428180679655702,0.25,,sideways,-1.0,-2.0,-39531.94180898166,219417.5779810072,402252.81449530035,2.7310769064746934,-50.605314219556355,402204.9402579873,-180125.99624566518,17243.80192356274,-197369.79816922793,0.004022049402579873
2025-03-05,317.5,57.75,0.6408833648834944,-0.5001938980587474,0.25,,sideways,-1.0,0.0,-39370.07874015748,216450.21645021645,119973.60405148976,-3.1034379431548733,-0.2227566527548436,119970.27785689385,-60155.71838877133,17243.80192356274,-77399.52031233408,0.0011997027785689385
2025-03-06,315.79,58.502,0.6109726470050688,-1.1175926332122907,0.25,,sideways,-1.0,0.0,-39583.267361221064,213667.90878944308,230093.39741623178,-3.0763342082239724,-0.2300933974162333,230090.09098862615,169934.37259985483,169934.37259985483,0.0,0.0023009009098862616
2025-03-07,313.16,58.71,0.6045043866537998,-0.8856986880949161,0.25,,sideways,-1.0,0.0,-39915.69804572742,212910.91807187872,148546.91818821503,-3.0679366834490085,-0.14854691818821367,148543.7017046134,318478.07430446823,318478.07430446823,0.0,0.001485437017046134
2025-03-10,317.6,59.262,0.6106557326812959,0.5191080780547411,0.25,,sideways,-1.0,0.0,-39357.682619647356,210927.74459181263,-59698.87254735266,-3.1321672068469626,-0.2947525260987047,-59702.2994670856,258775.77483738263,318478.07430446823,-59702.2994670856,-0.000597022994670856
2025-03-11,320.23,58.732,0.5990002106089926,0.8927023700571736,0.25,,sideways,-1.0,0.0,-39034.443993379755,212831.16529319622,-215302.4099233333,-3.115337299533411,-0.2153024099233345,-215305.74056304275,43470.03427433988,318478.07430446823,-275008.0400301283,-0.0021530574056304276
2025-03-12,318.97,59.011,0.5929414234406287,-0.6356561326792995,0.25,,sideways,-1.0,0.0,-39188.63842994639,211824.9139990849,108563.29454846062,-3.080475631788815,-0.10856329454846203,108560.10550953427,152030.13978387415,318478.07430446823,-166447.93452059408,0.0010856010550953428
2025-03-13,313.02,58.61,0.6080454478288599,-1.1941843874158757,0.25,0.013237029021503149,sideways,-1.0,0.0,-39933.55057184845,213274.18529261218,148230.608144549,-3.0384690109608417,-0.31811418917181605,148227.25156134888,300257.39134522306,318478.07430446823,-18220.68295924517,0.0014822725156134887
2025-03-14,320.15,59.01,0.6211109356140965,1.2682672518431455,0.25,0.013326451387716551,sideways,-1.0,0.0,-39044.19803217242,211828.50364345027,-199416.5414602347,-3.156710703708664,-0.3700358896943255,-199420.06820682812,100837.32313839495,318478.07430446823,-217640.75116607329,-0.001994200682068281
2025-03-17,324.99,59.652,0.6276448256092697,0.49289878985082247,0.25,0.013225341139466345,sideways,-1.0,0.0,-38462.721929905536,209548.71588546905,-52980.019136620016,-3.134849448662645,-0.3249678178148098,-52983.47895388649,47853.84418450845,318478.07430446823,-270624.2301199598,-0.0005298347895388649
2025-03-18,328.2,59.8,0.6289286939769478,0.4889190994297544,0.25,0.013126454351157071,sideways,-1.0,0.0,-38086.53260207191,209030.10033444816,-92452.12744394736,-3.119893151612252,-0.15447854734604616,-92455.40181564633,-44601.557631137875,318478.07430446823,-363079.6319356061,-0.0009245540181564633
