dt,z,beta,pos_dir,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-03-20,-0.5071677874506463,0.6291284454548297,-1.0,0.0,59.84,324.8,-38485.22167487685,208890.3743315508,71129.48360241506,-3.0811996339561687,-0.07112948360241417,71126.33127329749,93589.56425268555
2025-03-21,-0.34575222789409404,0.6351425020155272,-1.0,0.0,59.365,322.22,-38793.37098876543,210561.7788259075,68.944113694728,-3.0690353412660927,-0.19851479972866626,65.67656355373325,93655.24081623928
2025-03-24,0.14092110736255353,0.634653461925421,0.0,1.0,58.603,320.68,0.0,-0.0,-100706.28414264206,-2.8402416001546347,-24.779810133211953,-100733.90419437543,-7078.663378136145
2025-03-25,-0.6696700760301968,0.6395672968559586,-1.0,-1.0,58.356,317.55,-39363.87970398362,214202.48132154363,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-7103.901201576024
2025-03-26,-0.3644820825926619,0.6415054166955649,-1.0,0.0,58.19,315.94,-39564.474267265934,214813.54184567797,27818.234424037088,-3.0772353471103315,-0.09893345822279148,27815.058255231754,20711.15705365573
2025-03-27,-0.4551156219020191,0.6466815671325409,-1.0,0.0,57.821,313.24,-39905.50376707956,216184.43126199825,27557.88358056244,-3.067315658937226,-0.18609027746267418,27554.63017462604,48265.78722828177
2025-03-28,-1.2028760595373513,0.65355682047419,-1.0,0.0,57.6,308.04,-40579.14556551097,217013.88888888888,159731.8602799124,-3.044328321250652,-0.2552853788977116,159728.56066621226,207994.347894494
2025-03-31,0.7024975065433543,0.6493279145231042,-1.0,0.0,57.301,310.05,-40316.07805192711,218146.28016963054,-146451.23536445433,-3.110326655080672,-0.14645123536445415,-146454.4921423448,61539.85575214922
2025-04-01,-1.2561218603253053,0.6396007451100946,-1.0,0.0,57.555,306.31,-40808.33142894453,217183.5635479107,206191.2870772934,-3.057279574144397,-0.2061912870772942,206188.0236064322,267727.8793585814
2025-04-02,-0.291020970962347,0.6427681530718724,-1.0,0.0,57.22,304.3,-41077.88366743345,218455.08563439356,9268.252383627885,-3.0729776074188333,-0.1547812399607281,9265.024624780506,276992.9039833619
2025-04-03,-0.9371558270002379,0.6611904900730776,-1.0,0.0,56.498,298.4,-41890.080428954425,221246.76979716096,84634.94180982633,-3.036371496125299,-0.4000840854658907,84631.50535424473,361624.40933760663
