<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBI;1;20250812;173000;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173100;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173200;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173300;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173400;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173500;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173600;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173700;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173800;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;173900;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;174000;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;174100;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250812;174200;121.19;121.19;121.18;121.18;0;0
RGBI;1;20250812;174300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;174900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;175900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;180900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;181900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;182900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250812;183600;121.18;121.18;121.18;121.18;0;0
