<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОФЗ 26240;1;20250715;132900;62.07;62.07;62.07;62.07;26;0
ОФЗ 26240;1;20250715;133000;62.07;62.07;62.07;62.07;9;0
ОФЗ 26240;1;20250715;133100;62.06;62.07;62.06;62.07;207;0
ОФЗ 26240;1;20250715;133200;62.07;62.07;62.06;62.06;45;0
ОФЗ 26240;1;20250715;133300;62.06;62.069;62.06;62.069;20;0
ОФЗ 26240;1;20250715;133400;62.069;62.069;62.06;62.069;25;0
ОФЗ 26240;1;20250715;133500;62.069;62.098;62.06;62.09;235;0
ОФЗ 26240;1;20250715;133600;62.084;62.091;62.064;62.064;10;0
ОФЗ 26240;1;20250715;133700;62.088;62.09;62.064;62.064;108;0
ОФЗ 26240;1;20250715;133800;62.087;62.1;62.087;62.1;570;0
ОФЗ 26240;1;20250715;133900;62.095;62.095;62.06;62.06;44;0
ОФЗ 26240;1;20250715;134000;62.09;62.091;62.064;62.064;53;0
ОФЗ 26240;1;20250715;134100;62.094;62.094;62.064;62.064;24;0
ОФЗ 26240;1;20250715;134200;62.094;62.099;62.093;62.099;69;0
ОФЗ 26240;1;20250715;134300;62.095;62.099;62.063;62.095;25;0
ОФЗ 26240;1;20250715;134400;62.1;62.1;62.095;62.095;25;0
ОФЗ 26240;1;20250715;134500;62.1;62.1;62.095;62.095;57;0
ОФЗ 26240;1;20250715;134600;62.097;62.098;62.053;62.053;91;0
ОФЗ 26240;1;20250715;134700;62.052;62.053;62.052;62.053;6;0
ОФЗ 26240;1;20250715;134800;62.053;62.053;62.052;62.053;22;0
ОФЗ 26240;1;20250715;134900;62.052;62.053;62.052;62.053;11;0
ОФЗ 26240;1;20250715;135000;62.052;62.07;62.033;62.033;210;0
ОФЗ 26240;1;20250715;135100;62.068;62.068;62.067;62.067;65;0
ОФЗ 26240;1;20250715;135200;62.066;62.066;62.066;62.066;2;0
ОФЗ 26240;1;20250715;135300;62.069;62.069;62.069;62.069;3;0
ОФЗ 26240;1;20250715;135500;62.069;62.07;62.069;62.07;10;0
ОФЗ 26240;1;20250715;135600;62.069;62.069;62.029;62.029;20;0
ОФЗ 26240;1;20250715;135800;62.067;62.068;62.067;62.068;6;0
ОФЗ 26240;1;20250715;135900;62.067;62.069;62.036;62.067;122;0
ОФЗ 26240;1;20250715;140000;62.067;62.067;62.067;62.067;81;0
ОФЗ 26240;1;20250715;140100;62.067;62.067;62.022;62.062;53;0
ОФЗ 26240;1;20250715;140200;62.03;62.063;62.029;62.063;96;0
ОФЗ 26240;1;20250715;140300;62.062;62.063;62.029;62.029;17;0
ОФЗ 26240;1;20250715;140400;62.063;62.068;62.063;62.068;24;0
ОФЗ 26240;1;20250715;140600;62.066;62.066;62.033;62.033;21;0
ОФЗ 26240;1;20250715;140700;62.033;62.033;62.029;62.029;118;0
ОФЗ 26240;1;20250715;140800;62.062;62.062;62.062;62.062;1;0
ОФЗ 26240;1;20250715;140900;62.03;62.064;62.029;62.063;13;0
ОФЗ 26240;1;20250715;141000;62.063;62.064;62.033;62.033;6;0
ОФЗ 26240;1;20250715;141100;62.033;62.064;62.033;62.064;7;0
ОФЗ 26240;1;20250715;141200;62.064;62.065;62.033;62.064;50;0
ОФЗ 26240;1;20250715;141300;62.066;62.066;62.066;62.066;5;0
ОФЗ 26240;1;20250715;141400;62.065;62.066;62.065;62.066;8;0
ОФЗ 26240;1;20250715;141500;62.066;62.066;62.065;62.065;30;0
ОФЗ 26240;1;20250715;141600;62.065;62.065;62.064;62.064;2;0
ОФЗ 26240;1;20250715;141700;62.037;62.055;62.037;62.055;2;0
ОФЗ 26240;1;20250715;141800;62.055;62.065;62.055;62.065;6;0
ОФЗ 26240;1;20250715;142000;62.064;62.064;62.064;62.064;53;0
ОФЗ 26240;1;20250715;142100;62.064;62.065;62.064;62.064;330;0
ОФЗ 26240;1;20250715;142200;62.065;62.065;62.037;62.037;12;0
ОФЗ 26240;1;20250715;142300;62.033;62.033;62.031;62.031;70;0
ОФЗ 26240;1;20250715;142400;62.03;62.03;62.03;62.03;1;0
ОФЗ 26240;1;20250715;142500;62.059;62.059;62.059;62.059;7;0
ОФЗ 26240;1;20250715;142600;62.058;62.068;62.034;62.066;222;0
ОФЗ 26240;1;20250715;142700;62.066;62.066;62.036;62.036;219;0
ОФЗ 26240;1;20250715;142800;62.068;62.068;62.035;62.035;135;0
ОФЗ 26240;1;20250715;142900;62.035;62.066;62.035;62.066;127;0
ОФЗ 26240;1;20250715;143000;62.066;62.066;62.035;62.035;4;0
ОФЗ 26240;1;20250715;143100;62.036;62.068;62.035;62.068;124;0
ОФЗ 26240;1;20250715;143200;62.066;62.069;62.041;62.042;101;0
ОФЗ 26240;1;20250715;143300;62.038;62.048;62.019;62.02;722;0
ОФЗ 26240;1;20250715;143400;62.02;62.066;62.02;62.055;9;0
ОФЗ 26240;1;20250715;143500;62.051;62.053;62.022;62.053;67;0
ОФЗ 26240;1;20250715;143600;62.019;62.053;62.019;62.047;40;0
ОФЗ 26240;1;20250715;143700;62.047;62.048;62.047;62.048;15;0
ОФЗ 26240;1;20250715;143800;62.048;62.048;62.046;62.046;4;0
ОФЗ 26240;1;20250715;143900;62.045;62.045;62.018;62.018;38;0
ОФЗ 26240;1;20250715;144000;62.04;62.06;62.022;62.022;163;0
ОФЗ 26240;1;20250715;144100;62.021;62.051;62.021;62.05;26;0
ОФЗ 26240;1;20250715;144200;62.023;62.05;62.022;62.022;225;0
ОФЗ 26240;1;20250715;144300;62.048;62.048;62.022;62.048;11;0
ОФЗ 26240;1;20250715;144400;62.018;62.047;62.018;62.046;9;0
ОФЗ 26240;1;20250715;144500;62.046;62.046;62.025;62.046;10;0
ОФЗ 26240;1;20250715;144600;62.046;62.046;62.046;62.046;2;0
ОФЗ 26240;1;20250715;144700;62.046;62.055;62.046;62.05;771;0
ОФЗ 26240;1;20250715;144800;62.05;62.05;62.05;62.05;2;0
ОФЗ 26240;1;20250715;144900;62.05;62.05;62.05;62.05;23;0
ОФЗ 26240;1;20250715;145100;62.05;62.05;62.05;62.05;1;0
