dt,z,beta,vol_scale,z_enter_eff,z_exit_eff,pos_coef,hedge_close,sber_close,sber_qty,hedge_qty,pos_change,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-07-18 17:42:00,-0.38969679625301257,-0.04571803046081554,1.0,1.75,0.4,0.0,63.27,308.36,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,728504.4164423757
2025-07-18 17:43:00,2.4120898306721834,-0.03216292136297498,1.0,1.75,0.4,-0.6891685230491953,63.282,308.63,-111649.63273971993,544521.762151319,-1.0,0.0,-0.9512937595129394,-68.91685230491952,-69.86814606443245,728434.5482963113
2025-07-18 17:44:00,0.5518105965593414,-0.030350054840553586,1.0,1.9342820157577931,0.4344584261524598,-0.6891685230491953,63.286,308.7,-111624.31536268145,544487.3455813255,0.0,-5637.387243171696,-8.820298697127447,-0.009993561340389118,-5646.217535430164,722788.3307608811
2025-07-18 17:45:00,0.377595577707899,-0.03544197899303245,1.0,1.9342820157577931,0.4344584261524598,0.0,63.239,308.76,0.0,-0.0,1.0,-32288.364164085695,-7.868749682963818,-68.89795885859895,-32365.13087262726,690423.1998882538
2025-07-18 17:46:00,-0.0066879502691901465,-0.035687666254000744,1.0,1.75,0.4,0.0,63.239,308.77,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,690423.1998882538
2025-07-18 17:47:00,-3.5702285412069568,0.0033337854474371873,1.0,1.75,0.4,1.020065297487702,63.217,308.38,162137.62241390493,-790926.4912918994,1.0,0.0,-0.9512937595129394,-100.0,-100.95129375951294,690322.2485944943
2025-07-18 17:48:00,-0.25376735678427287,0.0023993739129084526,1.0,2.0707769352136767,0.45100326487438513,0.0,63.217,308.36,0.0,-0.0,-1.0,-3242.752448275149,11.414784759715005,-99.99675724755171,-3331.3344207629857,686990.9141737313
2025-07-18 17:49:00,1.1851294264670527,-0.002894973242138965,1.0,1.75,0.4,0.0,63.239,308.5,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,686990.9141737313
2025-07-18 17:50:00,-0.256482736565527,-0.013427159914884303,1.0,1.75,0.4,0.0,63.239,308.48,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,686990.9141737313
2025-07-18 17:51:00,-0.07881482274190918,-0.013478772449251237,1.0,1.75,0.4,0.0,63.239,308.48,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,686990.9141737313
2025-07-18 17:52:00,-0.7052422693531404,-0.013095255360600215,1.0,1.75,0.4,0.0,63.238,308.41,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,686990.9141737313
2025-07-18 17:53:00,-1.4125429173455728,-0.013353650278334142,1.0,1.75,0.4,0.0,63.238,308.26,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,686990.9141737313
2025-07-18 17:54:00,-2.9564937559819993,-0.011522429160876431,1.0,1.75,0.4,0.8447125017091427,63.237,307.93,137159.82556248867,-667894.1930429516,1.0,0.0,-0.9512937595129394,-84.47125017091426,-85.4225439304272,686905.4916298009
2025-07-18 17:55:00,-0.05664418674432015,-0.012608053225787742,1.0,1.9984439069550215,0.44223562508545716,0.0,63.237,307.93,0.0,-0.0,-1.0,0.0,9.64283677750163,-84.47125017091426,-74.82841339341263,686830.6632164074
2025-07-18 17:56:00,1.1655509153981698,-0.012514889935345745,1.0,1.75,0.4,0.0,63.237,308.07,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,686830.6632164074
2025-07-18 17:57:00,-0.6791085115234817,-0.013234211044583893,1.0,1.75,0.4,0.0,63.237,308.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,686830.6632164074
2025-07-18 17:58:00,-0.14862872211812825,-0.010359629827754879,1.0,1.75,0.4,0.0,63.237,307.99,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,686830.6632164074
2025-07-18 17:59:00,-0.03764030864132033,-0.013767166590100176,1.0,1.75,0.4,0.0,63.282,307.99,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,686830.6632164074
2025-07-18 18:00:00,2.1991975737432687,-0.009851332448137047,1.0,1.75,0.4,-0.6283421639266482,63.285,308.25,-101920.87006109461,496438.4640330633,-1.0,0.0,-0.9512937595129394,-62.834216392664814,-63.78551015217775,686766.8777062552
2025-07-18 18:01:00,-1.465451229276391,-0.008760250326967246,1.0,1.9091911426197423,0.43141710819633244,0.0,63.285,308.09,0.0,-0.0,1.0,16307.339209777687,-7.169132615781424,-62.81790905345505,16237.35216810845,703004.2298743636
2025-07-18 18:02:00,1.2316803885161811,-0.007148631525839459,1.0,1.75,0.4,0.0,63.287,308.24,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:03:00,-1.1990421129852413,-0.006927408616451572,1.0,1.75,0.4,0.0,63.287,308.11,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:04:00,0.8818106402304998,-0.007071494398945515,1.0,1.75,0.4,0.0,63.287,308.22,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:05:00,0.09734895494765365,-0.05802503110396891,1.0,1.75,0.4,0.0,63.287,308.24,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:06:00,1.733571495034288,-0.05996238401029732,1.0,1.75,0.4,0.0,63.287,308.45,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:07:00,-0.23287086177401703,-0.060928936520710866,1.0,1.75,0.4,0.0,63.261,308.44,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:08:00,0.49893135965424606,-0.051839103889828674,1.0,1.75,0.4,0.0,63.29,308.5,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:09:00,0.690086631266741,-0.05117975996119662,1.0,1.75,0.4,0.0,63.29,308.59,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:10:00,-0.25811670349502713,-0.053571296846898264,1.0,1.75,0.4,0.0,63.29,308.57,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:11:00,0.47848284508053357,-0.04340874872238087,1.0,1.75,0.4,0.0,63.316,308.63,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:12:00,-0.3255078555786237,-0.045603921511866444,1.0,1.75,0.8,0.0,63.322,308.6,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:13:00,-2.2208929811255103,-0.04524390327706458,1.0,1.75,0.8,0.0,63.322,308.35,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:14:00,0.3864768920931043,-0.038529173334541256,1.0,1.75,0.8,0.0,63.329,308.4,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:15:00,0.918731234350204,-0.012780882521155964,1.0,1.75,0.8,0.0,63.375,308.51,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:16:00,0.24972210666864067,-0.014814930436959917,1.0,1.75,0.8,0.0,63.313,308.55,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:18:00,0.9267268191627669,0.03845280110944881,1.0,1.75,0.8,0.0,63.421,308.68,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:19:00,0.6338148069732448,0.018207687989184342,1.0,1.75,0.8,0.0,63.34,308.75,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:20:00,1.0072034164477062,0.018280759360099354,1.0,1.75,0.8,0.0,63.34,308.87,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:21:00,2.788666147788791,0.10026390257529916,1.0,1.75,0.8,0.0,63.418,309.23,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:22:00,0.12341235157194648,0.10020436002709796,1.0,1.75,0.8,0.0,63.412,309.25,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:23:00,-1.6848648583442776,0.09989252782198707,1.0,1.75,0.8,0.0,63.413,309.07,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:24:00,-0.43024743263789567,0.1561455936317681,1.0,1.75,0.8,0.0,63.413,309.03,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-18 18:25:00,-0.17055138983614163,0.1571983031030678,1.0,1.75,0.8,0.0,63.413,309.02,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
