dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-07-17 15:38:00,326.29,62.85,0.17523526916372617,-0.9445918243927443,1.0,0.0004017299792991245,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:39:00,326.25,62.822,0.176349723776347,-0.043194826268545955,1.0,0.000398559067938157,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:40:00,326.26,62.84,0.17597439751142102,0.014704734465294118,1.0,0.0003981547871824525,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:41:00,326.31,62.8,0.16748217666643173,0.7109735087883816,1.0,0.00039514320151687386,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:42:00,326.31,62.797,0.16726889004092685,0.06673802043445211,1.0,0.00039287510544966587,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:43:00,326.3,62.755,0.16476891261006946,0.2425306580859541,1.0,0.00039088250177984457,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:44:00,326.28,62.799,0.16356091929138475,-0.4133251908987784,1.0,0.0003904722088277918,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:46:00,326.21,62.759,0.1733181012147566,-0.22302939328574012,1.0,0.00038851621802991204,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:47:00,326.23,62.79,0.17545730330423798,-0.0202055298251709,1.0,0.00038851643619955927,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:48:00,326.22,62.799,0.17432509646923697,-0.11472617054533764,1.0,0.0003790020543030257,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:49:00,326.31,62.795,0.17289329806964948,0.785355622238563,1.0,0.00037947767733465264,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
2025-07-17 15:50:00,326.28,62.755,0.1725180413227342,0.08225814298976081,1.0,0.0003780307155319633,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,904759.4683073733,982812.9141092207,-78053.44580184738,0.0
